mes,dia,titulo,versiculo,texto
SETEMBRO,1,"PERMANECENDO NA OBEDIÊNCIA, NO AMOR","Se guardardes os meus mandamentos, permanecereis no meu amor — João 15:10","Essas coisas não podem ser separadas — permanecer em obediência e permanecer no

amor de Jesus. Somente uma vida sob o governo de Cristo pode provar que somos objeto

do prazer do nosso Senhor. Devemos guardar os mandamentos do Senhor se quisermos

desfrutar do Seu amor. Se vivermos em pecado, não podemos viver no amor de Cristo.

Sem a santidade que agrada a Deus, não podemos agradar a Jesus. Aquele que não se

importa com a santidade nada sabe sobre o amor de Jesus. O gozo consciente do amor do

nosso Senhor é algo delicado. É muito mais sensível ao pecado e à santidade do que o

mercúrio é ao frio e ao calor. Quando temos um coração terno e somos cuidadosos em

nossos pensamentos, palavras e vida para honrar o nosso Senhor Jesus, então recebemos

inúmeras demonstrações do Seu amor. Se desejamos perpetuar tal felicidade, devemos

perpetuar a santidade. O Senhor Jesus não esconderá o Seu rosto de nós, a menos que

escondamos o nosso rosto Dele. O pecado cria a nuvem que escurece o nosso Sol: se

formos vigilantes, obedientes e completamente consagrados, poderemos andar na luz,

como Deus está na luz, e ter uma permanência tão segura no amor de Jesus quanto Jesus

tem no amor do Pai. Aqui está uma doce promessa com um solene ""se"". Senhor, deixe-

me ter esse ""se"" nas minhas mãos; pois, como uma chave, ele abre este cofre."
SETEMBRO,2,SIGA PARA SABER,"Então saberemos, se seguirmos para conhecer o Senhor — Oséias 6:3","Não de uma só vez, mas gradualmente alcançaremos o conhecimento sagrado, e nossa

tarefa é perseverar e aprender pouco a pouco. Não precisamos nos desesperar, embora

nosso progresso possa ser lento, pois ainda assim chegaremos ao conhecimento. O

Senhor, que se tornou nosso Mestre, não nos abandonará, por mais lentos que sejamos em

compreender; pois não é para Sua honra que qualquer grau de loucura humana confunda

Sua habilidade. O Senhor se deleita em tornar sábios os simples. Nosso dever é manter o

foco no nosso tema principal e continuar a conhecer, não esta ou aquela doutrina peculiar,

mas o próprio Jeová. Conhecer o Pai, o Filho e o Espírito, o Deus Trino, é a vida eterna:

mantenhamos o foco nisso, pois assim obteremos instrução completa. Ao continuar a

conhecer o Senhor, aprendemos a curar depois de sermos feridos, a ligar depois de sermos

golpeados e a viver depois da morte. A experiência tem o seu trabalho perfeito quando o

coração segue os passos do Senhor Todo-Poderoso. Minha alma, mantém-te perto de

Jesus, continua a conhecer Deus em Jesus, e assim chegarás ao conhecimento de Cristo,

que é a mais excelente de todas as ciências. O Espírito Santo guiar-te-á a toda a verdade.

Não é esta a Sua graciosa função? Confia Nele para cumpri-la."
SETEMBRO,3,FORA DA MORTE ESPIRITUAL,"E sabereis que eu sou o Senhor, quando eu abrir os vossos túmulos, ó meu povo, e vos tirar de dentro dele — Ezequiel 37:13","De fato, deve ser assim: aqueles que recebem vida dos mortos certamente reconhecem a

mão do Senhor nessa ressurreição. Essa é a maior e mais notável de todas as mudanças

pelas quais um homem pode passar — ser tirado da sepultura da morte espiritual e levado

a regozijar-se na luz e na liberdade da vida espiritual. Ninguém poderia fazer isso, a não

ser o Deus vivo, o Senhor e doador da vida. Ah, como me lembro bem de quando estava

deitado no vale cheio de ossos secos, tão seco quanto qualquer um deles! Abençoado foi

o dia em que a graça livre e soberana enviou o homem de Deus para profetizar sobre mim!

Glória a Deus pela agitação que aquela palavra de fé causou entre os ossos secos. Mais

abençoado ainda foi aquele sopro celestial dos quatro ventos que me fez viver! Agora

conheço o Espírito vivificante do Jeová eternamente vivo. Verdadeiramente Jeová é o

Deus vivo, pois Ele me fez viver. A minha nova vida, mesmo com as suas angústias e

tristezas, é uma prova clara para mim de que o Senhor pode matar e dar vida. Ele é o

único Deus. Ele é tudo o que é grande, gracioso e glorioso, e a minha alma vivificada O

adora como o grande EU SOU. Toda a glória seja dada ao Seu nome sagrado! Enquanto

viver, eu O louvarei."
SETEMBRO,4,VITÓRIA SEM BATALHA,"Mas terei misericórdia da casa de Judá e os salvarei pelo Senhor, seu Deus, e não os salvarei com arco, nem com espada, nem com batalha, com cavalos, nem com cavaleiros. — Oséias 1:7","Palavra preciosa! O próprio Jeová libertará o Seu povo na grandeza da Sua misericórdia,

mas não o fará pelos meios comuns. Os homens demoram a dar a Deus a glória devida ao

Seu nome. Se eles vão para a batalha com espadas e arcos e obtêm a vitória, eles deveriam

louvar o seu Deus; no entanto, eles não o fazem, mas começam a engrandecer o seu

próprio braço direito e a gloriar-se nos seus cavalos e cavaleiros. Por essa razão, o nosso

Jeová frequentemente decide salvar o Seu povo sem meios secundários, para que toda a

honra seja dada somente a Ele. Olha, então, meu coração, somente para o Senhor, e não

para o homem. Espera ver Deus com mais clareza quando não houver mais ninguém para

quem olhar. Se não tenho amigos, nem conselheiros, nem ninguém para me apoiar, que

eu não deixe de ter confiança se puder sentir que o próprio Senhor está do meu lado; sim,

que eu me alegre se Ele me der a vitória sem batalha, como o texto parece sugerir. Por

que pediria cavalos e cavaleiros se o próprio Jeová tem misericórdia de mim e levanta o

Seu braço para minha defesa? Por que precisaria de arco ou espada se Deus me salvará?

Deixa-me confiar e não ter medo, a partir de hoje e para sempre. Amém."
SETEMBRO,5,COMIGO ONDE QUER QUE EU ESTEJA,O Senhor estará contigo — 2 Crônicas 20:17,"Isso foi uma grande misericórdia para Josafá, pois uma grande multidão se levantou

contra ele; e será uma grande misericórdia para mim, pois tenho grande necessidade e não

tenho força nem sabedoria. Se o Senhor estiver comigo, pouco importa quem me

abandone. Se o Senhor estiver comigo, vencerei na batalha da vida, e quanto maiores

forem as minhas provações, mais gloriosa será a minha vitória. Como posso ter a certeza

de que o Senhor está comigo? Certamente Ele está comigo se eu estiver com Ele. Se eu

confiar na Sua fidelidade, acreditar nas Suas palavras e obedecer aos Seus mandamentos,

Ele certamente estará comigo. Se eu estiver do lado de Satanás, Deus estará contra mim,

e não pode ser de outra forma; mas se eu viver para honrar a Deus, posso ter a certeza de

que Ele me honrará. Tenho certeza de que Deus está comigo se Jesus é o meu único

Salvador. Se coloquei a minha alma nas mãos do Filho Unigênito de Deus, então posso

ter certeza de que o Pai usará todo o Seu poder para me preservar, para que o Seu Filho

não seja desonrado. Oh, que fé para compreender o breve, mas doce texto de hoje! Ó

Senhor, cumpre esta palavra ao teu servo! Esteja comigo em casa, na rua, no campo, na

loja, em companhia e sozinho. Esteja também com todo o teu povo."
SETEMBRO,6,UM CORAÇÃO FORTE,"Espera no Senhor; fortalece-te e ele fortalecerá o teu coração; espera, eu digo, no Senhor. — Salmos 27:14","Espere! Espere! Espere no Senhor! Ele vale a pena esperar. Ele nunca desaponta a alma

que espera. Enquanto espera, mantenha o ânimo. Espere uma grande libertação e esteja

pronto para louvar a Deus por isso. A promessa que deve animá-lo está no meio do

versículo: ""Ele fortalecerá o teu coração"". Isso vai direto ao lugar onde você precisa de

ajuda. Se o coração estiver saudável, todo o resto do sistema funcionará bem. O coração

precisa de calma e ânimo; e ambos virão se ele for fortalecido. Um coração forte descansa

e se alegra, e transmite força a todo o homem. Ninguém mais pode chegar àquela urna

secreta da vida, o coração, para derramar força nele. Somente Aquele que o criou pode

torná-lo forte. Deus é cheio de força e, portanto, pode transmiti-la àqueles que precisam

dela. Oh, seja corajoso, pois o Senhor lhe transmitirá a Sua força, e você ficará calmo na

tempestade e alegre na tristeza. Aquele que escreveu estas linhas pode escrever como

Davi: ""Espera, eu digo, no Senhor"". Eu realmente digo isso. Sei, por longa e profunda

experiência, que é bom para mim esperar no Senhor."
SETEMBRO,7,O ALCANCE DA GRAÇA TODO-PODEROSA,"Acontecerá que, no lugar onde lhes foi dito: Vós não sois o meu povo, ali lhes será dito: Vós sois os filhos do Deus vivo. — Oséias 1:10","A graça soberana pode transformar estranhos em filhos, e o Senhor aqui declara o Seu

propósito de lidar assim com os rebeldes e fazê-los saber o que Ele fez. Amado leitor, o

Senhor fez isso no meu caso; Ele fez o mesmo por você? Então, vamos unir as mãos e os

corações para louvar o Seu nome adorável. Alguns de nós éramos tão decididamente

ímpios que a Palavra do Senhor disse verdadeiramente à nossa consciência e ao nosso

coração: ""Vós não sois o meu povo"". Na casa de Deus e em nossas próprias casas, quando

lemos a Bíblia, esta era a voz do Espírito de Deus em nossa alma: ""Vós não sois o meu

povo"". Era realmente uma voz triste e condenatória. Mas agora, nos mesmos lugares, do

mesmo ministério e das mesmas Escrituras, ouvimos uma voz que diz: ""Vós sois os filhos

do Deus vivo"". Podemos ser suficientemente gratos por isso? Não é maravilhoso? Não

nos dá esperança para os outros? Quem está além do alcance da graça todo-poderosa?

Como podemos desesperar de alguém, uma vez que o Senhor operou uma mudança tão

maravilhosa em nós? Aquele que cumpriu esta grande promessa cumprirá todas as outras;

portanto, vamos seguir em frente com cânticos de adoração e confiança."
SETEMBRO,8,QUEBRADO E FUMEGANTE,"Não quebrará a cana quebrada, nem apagará o pavio que fumega — Isaías 42:3","Então posso contar com o tratamento terno do meu Senhor. Na verdade, sinto-me tão

fraco, tão flexível e tão inútil quanto um junco. Alguém disse: ""Não me importo com

você"", e a frase, embora cruel, não era falsa. Ai de mim! Sou pior do que um junco que

cresce à beira do rio, pois pelo menos ele consegue manter a cabeça erguida. Estou ferido,

dolorosamente, tristemente ferido. Não há música em mim agora; há uma fenda que deixa

escapar toda a melodia. Ah, eu! No entanto, Jesus não me quebrará; e se Ele não o fizer,

então pouco me importo com o que os outros tentam fazer. Ó Senhor doce e compassivo,

aninho-me sob a tua proteção e esqueço as minhas feridas! Na verdade, também sou

semelhante ao ""pavio que fumega"", cuja luz se apagou e apenas a sua fumaça permanece.

Receio ser mais um incômodo do que um benefício. Os meus medos dizem-me que o

diabo apagou a minha luz e deixou-me uma fumaça desagradável, e que o meu Senhor

em breve colocará um extintor sobre mim. No entanto, percebo que, embora houvesse

apagadores sob a lei, não havia extintores; e Jesus não me extinguirá; portanto, tenho

esperança. Senhor, acende-me novamente e faz-me brilhar para a tua glória e para a

exaltação da tua ternura."
SETEMBRO,9,O MEDO TEM O SEU LUGAR,Feliz é o homem que teme sempre — Provérbios 28:14,"O temor do Senhor é o princípio e o fundamento de toda a verdadeira religião. Sem uma

reverência solene e respeito por Deus, não há base para as virtudes mais brilhantes.

Aquele cuja alma não adora nunca viverá em santidade. Feliz é aquele que sente um temor

zeloso de fazer o mal. O temor santo não só olha antes de saltar, mas mesmo antes de se

mover. Ele teme o erro, teme negligenciar o dever, teme cometer pecado. Ele teme más

companhias, conversas fúteis e políticas questionáveis. Isso não torna o homem infeliz,

mas traz-lhe felicidade. O sentinela vigilante é mais feliz do que o soldado que dorme no

seu posto. Aquele que prevê o mal e o evita é mais feliz do que aquele que caminha

descuidadamente e é destruído. O temor de Deus é uma graça tranquila que conduz o

homem por um caminho escolhido, sobre o qual está escrito: ""Não haverá lá leão, nem

animal voraz subirá por ali"". O temor da própria aparência do mal é um princípio

purificador, que permite ao homem, através do poder do Espírito Santo, manter as suas

vestes imaculadas do mundo. Em ambos os sentidos, aquele que ""teme sempre"" é feito

feliz. Salomão experimentou tanto a mundanidade quanto o temor santo: em um

encontrou vaidade, no outro, felicidade. Não repitamos a sua experiência, mas sigamos o

seu veredito."
SETEMBRO,10,ENTRANDO; SAINDO,Abençoado serás quando entrares e abençoado serás quando saíres — Deuteronômio 28:6,"As bênçãos da lei não foram canceladas. Jesus confirmou a promessa quando Ele suportou

a pena. Se eu guardar os mandamentos do meu Senhor, posso apropriar-me dessa

promessa sem questionar. Hoje entrarei na minha casa sem medo de más notícias e

entrarei no meu quarto esperando ouvir boas notícias do meu Senhor. Não terei medo de

entrar em mim mesmo por meio da autoavaliação, nem de entrar nos meus assuntos por

meio de uma inspeção diligente dos meus negócios. Tenho muito trabalho a fazer dentro

de casa, dentro da minha própria alma; oh, que haja uma bênção sobre tudo isso, a bênção

do Senhor Jesus, que prometeu permanecer comigo. Também devo sair. A timidez faz-me

desejar poder ficar dentro de casa e nunca mais entrar no mundo pecaminoso. Mas devo

sair em minha vocação, e devo sair para que eu possa ser útil aos meus irmãos e útil aos

ímpios. Tenho de ser um defensor da fé e um combatente do mal. Oh, que haja uma bênção

sobre a minha saída hoje! Senhor, deixa-me ir aonde Tu me levas, nas Tuas missões, sob

o Teu comando e no poder do Teu Espírito. Senhor Jesus, entra comigo e sê meu

convidado; e depois caminha comigo e faz com que o meu coração arda enquanto falas

comigo pelo caminho."
