mes,dia,titulo,versiculo,texto
JANEIRO,1,A PRIMEIRA PROMESSA DA BÍBLIA,"A PRIMEIRA PROMESSA DA BÍBLIA ""E porei inimizade entre ti e a mulher, e entre a tua descendência e a descendência dela; esta ferirá a tua cabeça, e tu ferirás o calcanhar dela. — Gênesis 3:15","Esta é a primeira promessa feita ao homem caído. Ela contém todo o evangelho e a

essência da aliança da graça. Ela foi cumprida em grande medida. A semente da mulher,

nosso Senhor Jesus, foi ferida no calcanhar, e foi uma ferida terrível. Quão terrível será a

ferida final na cabeça da serpente! Isso foi praticamente feito quando Jesus tirou o pecado,

venceu a morte e quebrou o poder de Satanás; mas aguarda uma realização ainda mais

completa na Segunda Vinda de nosso Senhor e no Dia do Juízo. Para nós, a promessa

permanece como uma profecia de que seremos afligidos pelos poderes do mal em nossa

natureza inferior e, assim, feridos no calcanhar; mas triunfaremos em Cristo, que põe o

Seu pé sobre a cabeça da velha serpente. Ao longo deste ano, talvez tenhamos que

aprender a primeira parte desta promessa pela experiência, através das tentações do diabo

e da crueldade dos ímpios que são a sua descendência. Eles podem ferir-nos de tal forma

que mancaremos com o nosso calcanhar dolorido; mas vamos agarrar a segunda parte do

texto, e não ficaremos desanimados. Pela fé, vamos regozijar-nos por ainda reinar em

Cristo Jesus, a descendência da mulher."
JANEIRO,2,CONQUISTA PARA A VITÓRIA,"CONQUISTA PARA A VITÓRIA ""E o Deus da paz esmagará Satanás debaixo dos vossos pés em breve. — Romanos 16:20","Esta promessa segue bem a de ontem. É evidente que devemos nos conformar com o

nosso Chefe da aliança, não apenas no que diz respeito ao ferimento no calcanhar, mas

também na sua conquista do maligno. Até mesmo sob os nossos pés está o velho dragão

para ser ferido. Os crentes romanos estavam entristecidos com as contendas na igreja;

mas o seu Deus era ""o Deus da paz"" e lhes deu descanso para a alma. O arqui-inimigo fez

tropeçar os pés dos incautos e enganou os corações dos simples; mas ele teria o pior, e

seria pisoteado por aqueles a quem ele havia perturbado. Essa vitória não viria ao povo

de Deus por meio de sua própria habilidade ou poder; mas o próprio Deus feriria Satanás.

Embora fosse sob os seus pés, a ferida seria apenas do Senhor. Vamos pisar corajosamente

no tentador! Não apenas os espíritos inferiores, mas o próprio Príncipe das trevas deve

cair diante de nós. Com confiança inquestionável em Deus, vamos esperar por uma vitória

rápida. ""EM BREVE"". Palavra feliz! Em breve pisaremos na velha serpente! Que alegria

esmagar o mal! Que desonra para Satanás ter sua cabeça esmagada pelos pés humanos!

Pela fé em Jesus, pisemos o tentador."
JANEIRO,3,DESCANSE NUMA PROMESSA,"DESCANSE NUMA PROMESSA ""A terra em que estás deitado, eu a darei a ti. — Gênesis 28:13","Nenhuma promessa é de interpretação privada: ela não pertence a um santo, mas a todos

os crentes. Se, meu irmão, tu puderes, com fé, deitar-te sobre uma promessa e descansar

nela, ela é tua. Onde Jacó ""descerrou"", permaneceu e descansou, ali ele tomou posse.

Estendendo o seu corpo cansado no chão, com as pedras daquele lugar como almofadas,

ele mal imaginava que estava assim a entrar na posse da terra; e, no entanto, foi isso que

aconteceu. Ele viu em sonho aquela escada maravilhosa que, para todos os verdadeiros

crentes, une a terra ao céu; e certamente onde o pé da escada estava, ele devia ter direito

à terra, pois, caso contrário, não poderia alcançar a escadaria divina. Todas as promessas

de Deus são Sim e Amém em Cristo Jesus; e como Ele é nosso, todas as promessas são

nossas, se apenas nos deitarmos sobre elas com fé tranquila. Vem, cansado, usa as

palavras do teu Senhor como almofadas. Deita-te em paz. Sonha apenas com Ele. Jesus é

a tua escada de luz. Vê os anjos indo e vindo sobre Ele entre a tua alma e o teu Deus; e

tem a certeza de que a promessa é a tua própria porção dada por Deus, e que não será

roubo para ti tomá-la para ti, como foi dita especialmente para ti."
JANEIRO,4,EM REPOUSO TRANQUILO,"EM REPOUSO TRANQUILO ""Farei com que repousem em segurança. — Oséias 2:18","Sim, os santos terão paz. A passagem da qual esta palavra graciosa foi tirada fala da paz

""com os animais do campo, com as aves do céu e com os répteis da terra"". Esta é a paz

com os inimigos terrenos, com os males misteriosos e com os pequenos aborrecimentos!

Qualquer um destes pode impedir-nos de descansar, mas nenhum deles o fará. O Senhor

destruirá completamente as coisas que ameaçam o Seu povo: ""Quebrarei o arco e a

espada, e a batalha da terra"". A paz será realmente profunda quando todos os instrumentos

de inquietação forem quebrados em pedaços. Com essa paz virá o descanso. ""Assim, Ele

dá sono aos Seus amados"". Totalmente supridos e divinamente acalmados, os crentes

deitam-se em repouso tranquilo. Esse descanso será seguro. Uma coisa é deitar-se, mas

outra coisa bem diferente é ""deitar-se em segurança"". Somos levados à terra prometida, à

casa do Pai, à câmara do amor e ao seio de Cristo: certamente agora podemos ""deitar-nos

em segurança"". É mais seguro para um crente deitar-se em paz do que ficar sentado e

preocupado. ""Ele me faz repousar em pastagens verdes."" Nunca descansamos até que o

Consolador nos faça deitar."
JANEIRO,5,UMA GARANTIA MARAVILHOSA,"UMA GARANTIA MARAVILHOSA ""Eu te fortalecerei. — Isaías 41:10","Quando somos chamados a servir ou a sofrer, avaliamos a nossa força e descobrimos que

ela é menor do que pensávamos e menor do que precisamos. Mas não deixemos o nosso

coração afundar dentro de nós enquanto temos uma palavra como esta para nos apoiar,

pois ela nos garante tudo o que podemos precisar. Deus tem força omnipotente; Ele pode

comunicar essa força a nós; e Sua promessa é que Ele o fará. Ele será o alimento de nossas

almas e a saúde de nossos corações; e assim Ele nos dará força. Não há como saber quanto

poder Deus pode colocar em um homem. Quando a força divina vem, a fraqueza humana

não é mais um obstáculo. Não nos lembramos de épocas de trabalho e provações em que

recebemos uma força tão especial que ficámos surpreendidos com nós mesmos? No meio

do perigo, ficámos calmos; diante do luto, ficámos resignados; diante da calúnia, ficámos

contidos; e diante da doença, ficámos pacientes. O facto é que Deus nos dá uma força

inesperada quando provações incomuns nos sobrevêm. Nós nos elevamos acima de nosso

eu fraco. Os covardes agem como homens, os tolos recebem sabedoria e os silenciosos

recebem, na mesma hora, o que devem dizer. Minha própria fraqueza me faz encolher,

mas a promessa de Deus me torna corajoso. Senhor, fortaleça-me ""de acordo com a tua

palavra""."
JANEIRO,6,AJUDA EXTERNA,"AJUDA EXTERNA ""Sim, eu te ajudarei. — Isaías 41:10","A promessa de ontem nos deu força para o que temos que fazer, mas isso nos garante

ajuda nos casos em que não podemos agir sozinhos. O Senhor diz: ""Eu te ajudarei"". A

força interior é complementada pela ajuda exterior. Deus pode levantar aliados para a

nossa batalha, se assim lhe parecer bom; e mesmo que Ele não nos envie ajuda humana,

Ele mesmo estará ao nosso lado, e isso é ainda melhor. ""Nosso augusto aliado"" é melhor

do que legiões de ajudantes mortais. A Sua ajuda é oportuna: Ele é um socorro bem

presente na angústia. A Sua ajuda é muito sábia: Ele sabe como dar a cada homem a ajuda

adequada e apropriada para ele. A Sua ajuda é muito eficaz, embora a ajuda do homem

seja vã. A Sua ajuda é mais do que ajuda, pois Ele carrega todo o fardo e supre todas as

necessidades. ""O Senhor é o meu ajudador, não temerei o que o homem pode fazer contra

mim."" Porque Ele já tem sido a nossa ajuda, sentimos confiança Nele para o presente e

para o futuro. A nossa oração é: ""Senhor, sê o meu ajudador""; a nossa experiência é: ""O

Espírito também ajuda as nossas fraquezas""; a nossa expectativa é: ""Levantarei os meus

olhos para os montes, de onde vem o meu socorro""; e a nossa canção em breve será: ""Tu,

Senhor, me ajudaste""."
JANEIRO,7,SEMPRE A CRESCER,"SEMPRE A CRESCER ""Vereis coisas maiores do que estas. — João 1:50","Isto é dito a um crente infantil, que estava pronto para aceitar Jesus como o Filho de Deus,

o Rei de Israel, com base num único argumento convincente. Aqueles que estão dispostos

a ver verão: é porque fechamos os olhos que nos tornamos tão tristemente cegos. Já vimos

muito. O Senhor nos mostrou coisas grandiosas e insondáveis, pelas quais louvamos o

Seu nome; mas há verdades maiores na Sua Palavra, profundezas maiores de experiência,

alturas maiores de comunhão, obras maiores de utilidade, descobertas maiores de poder,

amor e sabedoria. Ainda temos que ver isso, se estivermos dispostos a acreditar no nosso

Senhor. A faculdade de inventar falsas doutrinas é ruinosa, mas o poder de ver a verdade

é uma bênção. O céu será aberto para nós, o caminho até lá será esclarecido para nós no

Filho do homem, e o comércio angelical que ocorre entre os reinos superior e inferior será

mais manifesto para nós. Vamos manter os nossos olhos abertos para os objetos espirituais

e esperar ver cada vez mais. Vamos acreditar que as nossas vidas não se perderão no nada,

mas que estaremos sempre em crescimento, vendo coisas cada vez maiores, até

contemplarmos o próprio Grande Deus e nunca mais perdermos a visão Dele."
JANEIRO,8,PURIDADE DE CORAÇÃO E DE VIDA,"PURIDADE DE CORAÇÃO E DE VIDA ""Bem-aventurados os puros de coração, porque eles verão a Deus. — Mateus 5:8","A pureza, mesmo a pureza do coração, é o principal objetivo a ser alcançado. Precisamos

ser purificados interiormente pelo Espírito e pela Palavra, e então seremos purificados

exteriormente pela consagração e obediência. Há uma estreita ligação entre os afetos e o

entendimento: se amamos o mal, não podemos compreender o que é bom. Se o coração é

impuro, os olhos ficarão turvos. Como podem aqueles homens que amam coisas profanas

ver um Deus santo? Que privilégio é ver Deus aqui! Um vislumbre Dele é o Céu na Terra!

Em Cristo Jesus, os puros de coração contemplam o Pai. Nós O vemos, Sua verdade, Seu

amor, Seu propósito, Sua soberania, Seu caráter de aliança, sim, nós O vemos em Cristo.

Mas isso só é compreendido quando o pecado é mantido fora do coração. Somente aqueles

que buscam a piedade podem clamar: ""Os meus olhos estão sempre voltados para o

Senhor"". O desejo de Moisés: ""Rogo-Te que me mostres a Tua glória"", só pode ser

realizado em nós quando nos purificamos de toda a iniquidade. Nós O ""veremos como

Ele é""; e ""todo aquele que tem esta esperança nele purifica-se a si mesmo"". O desfrute da

comunhão presente e a esperança da visão beatífica são motivos urgentes para a pureza

do coração e da vida. Senhor, torna-nos puros de coração, para que possamos ver-Te!"
JANEIRO,9,GANHANDO AO DAR,"GANHANDO AO DAR ""A alma generosa será enriquecida. — Provérbios 11:25","Se desejo prosperar na alma, não devo acumular os meus bens, mas distribuí-los aos

pobres. Ser mesquinho e avarento é o caminho do mundo para a prosperidade, mas não é

o caminho de Deus, pois Ele diz: ""Há quem espalhe e, no entanto, aumente; e há quem

retenha mais do que o devido, e isso tende à pobreza"". O caminho da fé para ganhar é dar.

Devo tentar isso repetidamente; e posso esperar que toda a prosperidade que for boa para

mim virá como uma recompensa graciosa por uma conduta generosa. É claro que não

posso ter certeza de que ficarei rico. Serei gordo, mas não muito gordo. Riquezas

excessivas podem tornar-me tão pesado quanto as pessoas corpulentas geralmente são, e

causar-me a dispepsia da mundanidade, e talvez provocar uma degeneração gordurosa do

coração. Não, se eu for gordo o suficiente para ser saudável, posso muito bem ficar

satisfeito; e se o Senhor me conceder competência, posso ficar completamente contente.

Mas há uma gordura mental e espiritual que eu cobiçaria muito, e ela vem como resultado

de pensamentos generosos para com o meu Deus, a Sua igreja e os meus semelhantes.

Não me deixe ser mesquinho, para não deixar o meu coração passar fome. Deixe-me ser

generoso e liberal, pois assim serei como o meu Senhor. Ele se entregou por mim: devo

guardar rancor por alguma coisa?"
JANEIRO,10,RECOMPENSA DIVINA,"RECOMPENSA DIVINA ""Quem rega também será regado. — Provérbios 11:25","Se eu considerar cuidadosamente os outros, Deus me considerará; e, de uma forma ou de

outra, Ele me recompensará. Deixe-me considerar os pobres, e o Senhor me considerará.

Deixe-me cuidar das criancinhas, e o Senhor me tratará como Seu filho. Deixe-me

alimentar o Seu rebanho, e Ele me alimentará. Deixe-me regar o Seu jardim, e Ele fará da

minha alma um jardim regado. Esta é a promessa do próprio Senhor; cabe a mim cumprir

a condição e, então, esperar o seu cumprimento. Posso cuidar de mim mesmo até ficar

doente; posso cuidar dos meus próprios sentimentos até não sentir nada; e posso lamentar

a minha própria fraqueza até ficar quase fraco demais para lamentar. Será muito mais

proveitoso para mim tornar-me altruísta e, por amor ao meu Senhor Jesus, começar a

cuidar das almas daqueles que me rodeiam. O meu tanque está a ficar muito baixo;

nenhuma chuva fresca vem para enchê-lo; o que devo fazer? Vou puxar o tampão e deixar

o seu conteúdo escoar para regar as plantas murchas à minha volta. O que vejo? A minha

cisterna parece encher-se à medida que escoa. Uma fonte secreta está a funcionar.

Enquanto tudo estava estagnado, a fonte fresca estava selada; mas à medida que o meu

estoque escoa para regar outros, o Senhor pensa em mim. Aleluia!"
